episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
102,2016,497.97003173828125,1348.0995314101542,0.050000000000000044,832.4700317382812,3345.0,12504,,,,,
103,2002,201.52935791015625,1392.8328767591906,0.050000000000000044,561.0293579101562,3595.0,12628,,,,,
104,2001,-1.711639404296875,1659.4916528368753,0.050000000000000044,383.7883605957031,3855.0,12754,,,,,
105,2005,167.81027221679688,1442.6485699069115,0.050000000000000044,511.8102722167969,3440.0,12878,,,,,
106,2013,854.3621826171875,1788.1203247975495,0.050000000000000044,1188.8621826171875,3345.0,12996,,,,,
107,2018,314.2938232421875,1143.4962181891165,0.050000000000000044,658.2938232421875,3440.0,13120,,,,,
108,2005,97.52908325195312,1299.3981327549104,0.050000000000000044,493.5290832519531,3960.0,13244,,,,,
109,2004,779.416015625,1341.1509739610015,0.050000000000000044,1078.416015625,2990.0,13366,,,,,
110,2012,12.196868896484375,1415.1177537477934,0.050000000000000044,385.6968688964844,3735.0,13496,,,,,
111,2015,260.3729248046875,1613.6069023388775,0.050000000000000044,593.8729248046875,3335.0,13615,,,,,
112,2003,136.56112670898438,1024.770218301992,0.050000000000000044,463.5611267089844,3270.0,13737,,,,,
113,2000,488.05413818359375,1387.9359767073292,0.050000000000000044,860.5541381835938,3725.0,13855,,,,,
114,2012,-40.078704833984375,1705.1950552133414,0.050000000000000044,370.4212951660156,4105.0,13985,,,,,
115,2002,157.80551147460938,1360.1730095032722,0.050000000000000044,477.3055114746094,3195.0,14109,,,,,
116,2018,327.7115478515625,1696.0212631225586,0.050000000000000044,647.7115478515625,3200.0,14233,,,,,
117,2013,698.1722412109375,1522.720633522939,0.050000000000000044,1041.1722412109375,3430.0,14351,,,,,
118,2006,332.93511962890625,1026.7358159549901,0.050000000000000044,746.9351196289062,4140.0,14473,,,,,
119,2013,724.0377197265625,1331.2072527610649,0.050000000000000044,1062.0377197265625,3380.0,14591,,,,,
120,2004,884.5048828125,1649.824978687724,0.050000000000000044,1234.0048828125,3495.0,14713,,,,,
121,2016,498.42352294921875,1253.804940121233,0.050000000000000044,809.9235229492188,3115.0,14834,,,,,
122,2018,290.9271240234375,1015.6639307083622,0.050000000000000044,646.9271240234375,3560.0,14958,,,,,
123,2007,962.1917724609375,1110.3023764239856,0.050000000000000044,1313.6917724609375,3515.0,15079,,,,,
124,2009,128.62734985351562,1371.4807319790125,0.050000000000000044,485.6273498535156,3570.0,15207,,,,,
125,2012,36.665435791015625,1431.9250799325796,0.050000000000000044,401.1654357910156,3645.0,15337,182.3846435546875,24.039093017578125,2620.0,444.3846435546875,2.0
126,2013,827.2752685546875,1671.0011203248623,0.050000000000000044,1162.7752685546875,3355.0,15455,,,,,
127,2011,323.36932373046875,1216.1351837476095,0.050000000000000044,663.3693237304688,3400.0,15575,,,,,
128,2003,100.33865356445312,1667.7631103015337,0.050000000000000044,474.8386535644531,3745.0,15697,,,,,
129,2018,332.82763671875,1368.285819453578,0.050000000000000044,665.82763671875,3330.0,15821,,,,,
130,2006,362.68902587890625,1251.741038869639,0.050000000000000044,712.1890258789062,3495.0,15943,,,,,
131,2013,798.3404541015625,1581.2045674081576,0.050000000000000044,1154.3404541015625,3560.0,16061,,,,,
132,2000,634.105224609375,1444.9688260999776,0.050000000000000044,998.105224609375,3640.0,16179,,,,,
133,2020,162.08071899414062,1160.5889705595423,0.050000000000000044,498.0807189941406,3360.0,16301,,,,,
134,2019,95.40090942382812,1626.926122000051,0.050000000000000044,445.9009094238281,3505.0,16430,,,,,
